No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,98,,,,,,
2,BouncyPlatform,-1,96,3,-,-,-,-,-
3,BouncyPlatform,0,94,3,-,-,-,-,-
4,BouncyPlatform,2,93,4,-,-,-,-,-
5,BouncyPlatform,-1,91,4,-,-,-,-,-
6,BouncyPlatform,3,90,4,-,-,-,-,-
7,BouncyPlatform,1,89,5,-,-,-,-,-
8,BouncyPlatform,-2,86,5,-,-,-,-,-
9,BouncyPlatform,2,86,4,-,-,-,-,-
10,BouncyPlatform,3,84,4,-,-,-,-,-
11,BouncyPlatform,-1,83,4,-,-,-,-,-
12,BouncyPlatform,1,83,4,-,-,-,-,-
13,BouncyPlatform,0,81,3,-,-,-,-,-
14,BouncyPlatform,2,79,5,-,-,-,-,-
15,BouncyPlatform,-2,77,4,-,-,-,-,-
16,BouncyPlatform,1,77,4,-,-,-,-,-
17,BouncyPlatform,-1,75,4,-,-,-,-,-
18,BouncyPlatform,0,72,3,-,-,-,-,-
19,BouncyPlatform,-2,71,4,-,-,-,-,-
20,BouncyPlatform,0,70,4,-,-,-,-,-
21,BouncyPlatform,2,70,4,-,-,-,-,-
22,BouncyPlatform,-1,68,3,-,-,-,-,-
23,BouncyPlatform,1,68,4,-,-,-,-,-
24,BouncyPlatform,3,67,4,-,-,-,-,-
25,BouncyPlatform,-2,65,4,-,-,-,-,-
26,BouncyPlatform,0,65,4,-,-,-,-,-
27,BouncyPlatform,2,64,3,-,-,-,-,-
28,BouncyPlatform,-1,62,3,-,-,-,-,-
29,BouncyPlatform,1,62,4,-,-,-,-,-
30,BouncyPlatform,0,59,5,-,-,-,-,-
31,BouncyPlatform,-1,55,4,-,-,-,-,-
32,BouncyPlatform,1,55,4,-,-,-,-,-
33,BouncyPlatform,0,53,4,-,-,-,-,-
34,BouncyPlatform,-2,52,4,-,-,-,-,-
35,BouncyPlatform,-1,50,4,-,-,-,-,-
36,BouncyPlatform,2,49,4,-,-,-,-,-
37,BouncyPlatform,1,46,3,-,-,-,-,-
38,BouncyPlatform,0,44,5,-,-,-,-,-
39,BouncyPlatform,2,41,5,-,-,-,-,-
40,BouncyPlatform,0,39,4,-,-,-,-,-
41,BouncyPlatform,1,37,4,-,-,-,-,-
42,BouncyPlatform,-1,36,3,-,-,-,-,-
43,BouncyPlatform,2,34,4,-,-,-,-,-
44,BouncyPlatform,0,33,4,-,-,-,-,-
45,BouncyPlatform,3,31,4,-,-,-,-,-
46,BouncyPlatform,-1,30,4,-,-,-,-,-
47,BouncyPlatform,1,30,4,-,-,-,-,-
48,BouncyPlatform,-2,28,3,-,-,-,-,-
49,BouncyPlatform,0,26,5,-,-,-,-,-
50,BouncyPlatform,2,26,5,-,-,-,-,-
51,BouncyPlatform,-1,24,4,-,-,-,-,-
52,BouncyPlatform,0,22,4,-,-,-,-,-
53,BouncyPlatform,2,22,4,-,-,-,-,-
54,BouncyPlatform,-2,20,4,-,-,-,-,-
55,BouncyPlatform,1,20,3,-,-,-,-,-
56,BouncyPlatform,3,19,4,-,-,-,-,-
57,BouncyPlatform,-1,18,3,-,-,-,-,-
58,BouncyPlatform,0,17,3,-,-,-,-,-
59,BouncyPlatform,2,16,4,-,-,-,-,-
60,BouncyPlatform,-2,14,5,-,-,-,-,-
61,BouncyPlatform,1,14,4,-,-,-,-,-
62,BouncyPlatform,-1,10,4,-,-,-,-,-
63,BouncyPlatform,3,10,4,-,-,-,-,-
64,BouncyPlatform,2,9,4,-,-,-,-,-
65,BouncyPlatform,-2,8,4,-,-,-,-,-
66,BouncyPlatform,0,8,4,-,-,-,-,-
67,BouncyPlatform,1,7,4,-,-,-,-,-
68,BouncyPlatform,-1,5,3,-,-,-,-,-
69,BouncyPlatform,3,5,5,-,-,-,-,-
70,BouncyPlatform,2,3,4,-,-,-,-,-
71,BouncyPlatform,0,2,4,-,-,-,-,-
72,BouncyPlatform,1,1,3,-,-,-,-,-
73,CrackPlatform,2,70,,,,,,
74,CrackPlatform,3,43,,,,,,
75,RandomSpawner,0,82,PinWheel,-,SpiderWeb,-,0,
76,RandomSpawner,2,81,PinWheel,-,SpiderWeb,-,0,
77,RandomSpawner,2,80,PinWheel,-,SpiderWeb,-,0,
78,RandomSpawner,3,75,PinWheel,-,SpiderWeb,-,1,
79,RandomSpawner,3,72,PinWheel,-,SpiderWeb,-,1,
80,RandomSpawner,2,71,PinWheel,-,SpiderWeb,-,1,
81,RandomSpawner,-2,39,PinWheel,-,SpiderWeb,-,2,
82,RandomSpawner,3,38,PinWheel,-,SpiderWeb,-,2,
83,RandomSpawner,-2,37,PinWheel,-,SpiderWeb,-,2,
84,Rocket,0,56,,,,,,
85,Magnet,1,78,,,,,,
86,Magnet,0,31,,,,,,
87,ItemBox,-2,72,,,,,,
88,ItemBox,0,36,,,,,,
89,ItemBox,-2,21,,,,,,
90,Cannibalism,2,94,,,,,,
91,Cannibalism,1,84,,,,,,
92,Cannibalism,-2,78,,,,,,
93,Cannibalism,-2,66,,,,,,
94,Cannibalism,2,50,,,,,,
95,Cannibalism,-2,29,,,,,,
96,Cannibalism,0,23,,,,,,
97,Cannibalism,0,9,,,,,,
98,Cannibalism,-1,31,,,,,,
99,Cannibalism,0,23,,,,,,
100,Cannibalism,2,23,,,,,,
101,Cannibalism,3,11,,,,,,
102,Cannibalism,0,9,,,,,,
