No,Name,x,y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,176,-,-,-,-,-,-
2,BouncyPlatform,1,1,4,-,-,-,-,-
3,BouncyPlatform,2,3,3,-,-,-,-,-
4,BouncyPlatform,0,4,3,-,-,-,-,-
5,BouncyPlatform,3,6,3,-,-,-,-,-
6,BouncyPlatform,-1,8,4,-,-,-,-,-
7,BouncyPlatform,2,8,4,-,-,-,-,-
8,BouncyPlatform,-2,10,4,-,-,-,-,-
9,BouncyPlatform,0,17,5,-,-,-,-,-
10,BouncyPlatform,1,18,4,-,-,-,-,-
11,BouncyPlatform,-2,19,5,-,-,-,-,-
12,BouncyPlatform,-1,23,3,-,-,-,-,-
13,BouncyPlatform,2,25,5,-,-,-,-,-
14,BouncyPlatform,-2,26,5,-,-,-,-,-
15,BouncyPlatform,-1,28,3,-,-,-,-,-
16,BouncyPlatform,1,33,5,-,-,-,-,-
17,BouncyPlatform,2,34,4,-,-,-,-,-
18,BouncyPlatform,1,37,4,-,-,-,-,-
19,BouncyPlatform,0,40,4,-,-,-,-,-
20,BouncyPlatform,2,47,5,-,-,-,-,-
21,BouncyPlatform,0,49,4,-,-,-,-,-
22,BouncyPlatform,1,52,3,-,-,-,-,-
23,BouncyPlatform,3,55,5,-,-,-,-,-
24,BouncyPlatform,2,58,4,-,-,-,-,-
25,BouncyPlatform,-1,60,3,-,-,-,-,-
26,BouncyPlatform,0,62,4,-,-,-,-,-
27,BouncyPlatform,3,65,5,-,-,-,-,-
28,BouncyPlatform,2,70,5,-,-,-,-,-
29,BouncyPlatform,-1,71,4,-,-,-,-,-
30,BouncyPlatform,1,71,4,-,-,-,-,-
31,BouncyPlatform,3,74,5,-,-,-,-,-
32,BouncyPlatform,0,79,3,-,-,-,-,-
33,BouncyPlatform,2,79,4,-,-,-,-,-
34,BouncyPlatform,-2,80,4,-,-,-,-,-
35,BouncyPlatform,-1,84,5,-,-,-,-,-
36,BouncyPlatform,2,84,3,-,-,-,-,-
37,BouncyPlatform,1,86,3,-,-,-,-,-
38,BouncyPlatform,-2,88,3,-,-,-,-,-
39,BouncyPlatform,0,88,3,-,-,-,-,-
40,BouncyPlatform,1,90,3,-,-,-,-,-
41,BouncyPlatform,-1,91,5,-,-,-,-,-
42,BouncyPlatform,2,92,3,-,-,-,-,-
43,BouncyPlatform,3,94,3,-,-,-,-,-
44,BouncyPlatform,-2,95,4,-,-,-,-,-
45,BouncyPlatform,2,97,4,-,-,-,105:107:109,106:108:110
46,BouncyPlatform,-1,98,4,-,-,-,-,-
47,BouncyPlatform,-2,102,4,-,-,-,-,-
48,BouncyPlatform,-2,109,4,-,-,-,-,-
49,BouncyPlatform,1,109,4,-,-,-,-,-
50,BouncyPlatform,2,112,5,-,-,-,-,-
51,BouncyPlatform,2,116,3,-,-,-,-,-
52,BouncyPlatform,1,118,3,-,-,-,-,-
53,BouncyPlatform,0,119,4,-,-,-,-,-
54,BouncyPlatform,-1,122,3,-,-,-,-,-
55,BouncyPlatform,1,123,4,-,-,-,-,-
56,BouncyPlatform,1,124,4,-,-,-,-,-
57,BouncyPlatform,-2,126,5,-,-,-,-,-
58,BouncyPlatform,0,126,5,-,-,-,-,-
59,BouncyPlatform,3,128,4,-,-,-,-,-
60,BouncyPlatform,2,132,4,-,-,-,-,-
61,BouncyPlatform,-2,136,5,-,-,-,-,-
62,BouncyPlatform,1,136,4,-,-,-,-,-
63,BouncyPlatform,-1,142,5,-,-,-,-,-
64,BouncyPlatform,3,142,5,-,-,-,-,-
65,BouncyPlatform,2,144,4,-,-,-,-,-
66,BouncyPlatform,-2,147,5,-,-,-,-,-
67,BouncyPlatform,0,147,3,-,-,-,-,-
68,BouncyPlatform,-1,152,3,-,-,-,-,-
69,BouncyPlatform,2,152,4,-,-,-,-,-
70,BouncyPlatform,-1,159,4,-,-,-,-,-
71,BouncyPlatform,1,160,5,-,-,-,-,-
