No,Name,x,y,Value1,Value2,Value3,Value4,Value5,Value6
1,BouncyPlatform,3,95,3,0,0,,,
2,BouncyPlatform,0,94,4,0,0,,,
3,BouncyPlatform,2,93,3,0,0,,,
4,BouncyPlatform,1,91,3,0,0,,,
5,BouncyPlatform,2,90,3,0,0,,,
6,BouncyPlatform,0,89,4,0,0,,,
7,BouncyPlatform,3,88,4,0,0,,,
8,BouncyPlatform,-1,87,3,0,0,,,
9,BouncyPlatform,2,86,3,0,0,,,
10,BouncyPlatform,-2,84,4,0,0,,,
11,BouncyPlatform,-1,82,4,0,0,,,
12,BouncyPlatform,3,82,4,0,0,,,
13,BouncyPlatform,0,80,4,0,0,,,
14,BouncyPlatform,-2,78,4,0,0,,,
15,BouncyPlatform,2,78,3,0,0,,,
16,BouncyPlatform,1,76,4,0,0,,,
17,BouncyPlatform,3,75,3,0,0,,,
18,BouncyPlatform,-1,74,4,0,0,,,
19,BouncyPlatform,-2,72,3,0,0,,,
20,BouncyPlatform,2,72,3,0,0,,,
21,BouncyPlatform,1,70,4,0,0,,,
22,BouncyPlatform,-1,69,3,0,0,,,
23,BouncyPlatform,3,68,3,0,0,,,
24,BouncyPlatform,0,67,3,0,0,,,
25,BouncyPlatform,-2,65,3,0,0,,,
26,BouncyPlatform,2,65,4,0,0,,,
27,BouncyPlatform,-1,63,4,0,0,,,
28,BouncyPlatform,1,63,3,0,0,,,
29,BouncyPlatform,3,61,4,0,0,,,
30,BouncyPlatform,-2,59,4,0,0,,,
31,BouncyPlatform,0,59,4,0,0,,,
32,BouncyPlatform,2,58,4,0,0,,,
33,BouncyPlatform,-1,56,3,0,0,,,
34,BouncyPlatform,3,56,4,0,0,,,
35,BouncyPlatform,0,52,4,0,0,,,
36,BouncyPlatform,2,52,3,0,0,,,
37,BouncyPlatform,3,50,4,0,0,,,
38,BouncyPlatform,-1,49,3,0,0,,,
39,BouncyPlatform,1,48,4,0,0,,,
40,BouncyPlatform,0,47,3,0,0,,,
41,BouncyPlatform,-1,44,3,0,0,,,
42,BouncyPlatform,2,44,4,0,0,,,
43,BouncyPlatform,-2,43,3,0,0,,,
44,BouncyPlatform,-1,40,3,0,0,,,
45,BouncyPlatform,1,40,4,0,0,,,
46,BouncyPlatform,2,37,4,0,0,,,
47,BouncyPlatform,1,36,3,0,0,,,
48,BouncyPlatform,3,36,4,0,0,,,
49,BouncyPlatform,0,35,4,0,0,,,
50,BouncyPlatform,-1,33,3,0,0,,,
51,BouncyPlatform,2,32,3,0,0,,,
52,BouncyPlatform,-2,30,4,0,0,,,
53,BouncyPlatform,1,29,3,0,0,,,
54,BouncyPlatform,3,29,4,0,0,,,
55,BouncyPlatform,-1,27,4,0,0,,,
56,BouncyPlatform,-2,26,3,0,0,,,
57,BouncyPlatform,2,26,4,0,0,,,
58,BouncyPlatform,1,24,4,0,0,,,
59,BouncyPlatform,-1,22,3,0,0,,,
60,BouncyPlatform,3,22,3,0,0,,,
61,BouncyPlatform,0,20,4,0,0,,,
62,BouncyPlatform,2,20,4,0,0,,,
63,BouncyPlatform,-2,17,4,0,0,,,
64,BouncyPlatform,1,17,4,0,0,,,
65,BouncyPlatform,-1,15,3,0,0,,,
66,BouncyPlatform,0,13,3,0,0,,,
67,BouncyPlatform,1,11,4,0,0,,,
68,BouncyPlatform,-2,9,3,0,0,,,
69,BouncyPlatform,2,9,3,0,0,,,
70,BouncyPlatform,-1,7,4,0,0,,,
71,BouncyPlatform,3,5,4,0,0,,,
72,BouncyPlatform,0,3,3,0,0,,,
73,BouncyPlatform,2,3,3,0,0,,,
74,BouncyPlatform,1,1,3,0,0,,,
75,CrackPlatform,1,81,,,,,,
76,CrackPlatform,1,54,,,,,,
77,CrackPlatform,0,43,,,,,,
78,CrackPlatform,-2,37,,,,,,
79,CrackPlatform,-1,13,,,,,,
80,CrackPlatform,3,11,,,,,,
81,RandomSpawner,3,92,PinWheel,-,SpiderWeb,-,0,
82,RandomSpawner,2,91,PinWheel,-,SpiderWeb,-,0,
83,RandomSpawner,3,90,PinWheel,-,SpiderWeb,-,0,
84,RandomSpawner,-2,60,PinWheel,-,SpiderWeb,-,1,
85,RandomSpawner,-1,60,PinWheel,-,SpiderWeb,-,1,
86,RandomSpawner,0,60,PinWheel,-,SpiderWeb,-,1,
87,RandomSpawner,-1,41,PinWheel,-,SpiderWeb,-,2,
88,RandomSpawner,0,41,PinWheel,-,SpiderWeb,-,2,
89,RandomSpawner,-1,38,PinWheel,-,SpiderWeb,-,2,
90,RandomSpawner,2,18,PinWheel,-,SpiderWeb,-,3,
91,RandomSpawner,3,18,PinWheel,-,SpiderWeb,-,3,
92,RandomSpawner,3,17,PinWheel,-,SpiderWeb,-,3,
93,Rocket,3,41,,,,,,
94,Magnet,-1,64,,,,,,
95,Magnet,2,27,,,,,,
96,ItemBox,2,89,,,,,,
97,ItemBox,2,59,,,,,,
98,ItemBox,0,17,,,,,,
99,Bee,-2,74,,,,,,
100,Bee,3,49,,,,,,
101,Bee,-2,24,,,,,,
