No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,SpawnPoint,0,5,,,,,,
2,GoalInPlatform,0,118,,,,,,
3,BouncyPlatform,2,109,4,-,-,-,-,-
4,BouncyPlatform,-1,108,4,-,-,-,-,-
5,BouncyPlatform,3,101,4,-,-,-,-,-
6,BouncyPlatform,-2,100,4,-,-,-,-,-
7,BouncyPlatform,1,97,4,-,-,-,-,-
8,BouncyPlatform,-1,96,5,-,-,-,-,-
9,BouncyPlatform,2,93,5,-,-,-,-,-
10,BouncyPlatform,-2,92,4,-,-,-,-,-
11,BouncyPlatform,0,92,5,-,-,-,-,-
12,BouncyPlatform,1,91,4,-,-,-,-,-
13,BouncyPlatform,-1,87,5,-,-,-,-,-
14,BouncyPlatform,2,87,4,-,-,-,-,-
15,BouncyPlatform,-2,83,4,-,-,-,-,-
16,BouncyPlatform,3,83,4,-,-,-,-,-
17,BouncyPlatform,0,81,4,-,-,-,-,-
18,BouncyPlatform,-1,79,4,-,-,-,-,-
19,BouncyPlatform,2,79,4,-,-,-,-,-
20,BouncyPlatform,1,77,4,-,-,-,-,-
21,BouncyPlatform,3,75,4,-,-,-,-,-
22,BouncyPlatform,0,73,4,-,-,-,-,-
23,BouncyPlatform,2,71,4,-,-,-,-,-
24,BouncyPlatform,-1,69,4,-,-,-,-,-
25,BouncyPlatform,1,69,4,-,-,-,-,-
26,BouncyPlatform,3,67,3,-,-,-,-,-
27,BouncyPlatform,2,65,3,-,-,-,-,-
28,BouncyPlatform,1,63,4,-,-,-,-,-
29,BouncyPlatform,0,60,3,-,-,-,-,-
30,BouncyPlatform,-2,59,3,-,-,-,-,-
31,BouncyPlatform,-1,48,3,-,-,-,-,-
32,BouncyPlatform,1,48,4,-,-,-,-,-
33,BouncyPlatform,3,48,4,-,-,-,-,-
34,BouncyPlatform,0,45,3,-,-,-,-,-
35,BouncyPlatform,2,44,4,-,-,-,-,-
36,BouncyPlatform,-2,42,3,-,-,-,-,-
37,BouncyPlatform,-1,39,3,-,-,-,-,-
38,BouncyPlatform,3,38,3,-,-,-,-,-
39,BouncyPlatform,0,36,4,-,-,-,-,-
40,BouncyPlatform,2,36,4,-,-,-,-,-
41,BouncyPlatform,-2,34,3,-,-,-,-,-
42,BouncyPlatform,1,32,4,-,-,-,-,-
43,BouncyPlatform,2,30,3,-,-,-,-,-
44,BouncyPlatform,0,28,4,-,-,-,-,-
45,BouncyPlatform,3,27,3,-,-,-,-,-
46,BouncyPlatform,2,24,3,-,-,-,-,-
47,BouncyPlatform,1,21,3,-,-,-,-,-
48,BouncyPlatform,0,18,3,-,-,-,-,-
49,BouncyPlatform,2,18,3,-,-,-,-,-
50,BouncyPlatform,-1,15,3,-,-,-,-,-
51,BouncyPlatform,2,15,3,-,-,-,-,-
52,BouncyPlatform,1,9,4,-,-,-,-,-
53,BouncyPlatform,3,8,4,-,-,-,-,-
54,BouncyPlatform,0,5,4,-,-,-,-,-
55,BouncyPlatform,2,5,4,-,-,-,-,-
56,BouncyPlatform,1,1,4,-,-,-,-,-
57,BouncyPlatform,-2,116,4,-,1,3,-,-
58,BouncyPlatform,1,115,4,-,1,3,-,-
59,BouncyPlatform,0,112,4,-,1,3,-,-
60,BouncyPlatform,1,105,4,-,1,3,-,-
61,BouncyPlatform,-1,101,4,-,1,3,-,-
62,BouncyPlatform,-2,65,4,-,2,3,-,-
63,BouncyPlatform,1,56,4,-,2,3,-,-
64,BouncyPlatform,-1,52,4,-,2,3,-,-
65,BouncyPlatform,0,40,4,-,2,3,-,-
66,BouncyPlatform,-2,24,4,-,2,3,-,-
67,BouncyPlatform,0,12,4,-,2,3,-,-
68,CrackPlatform,3,109,,,,,,
69,CrackPlatform,-1,106,,,,,,
70,CrackPlatform,-1,102,,,,,,
71,RandomSpawner,-2,91,PinWheel,-,SpiderWeb,-,0,
72,RandomSpawner,1,89,PinWheel,-,SpiderWeb,-,0,
73,RandomSpawner,0,85,PinWheel,-,SpiderWeb,-,0,
74,RandomSpawner,-2,74,PinWheel,-,SpiderWeb,-,1,
75,RandomSpawner,3,74,PinWheel,-,SpiderWeb,-,1,
76,RandomSpawner,-2,66,PinWheel,-,SpiderWeb,-,1,
77,RandomSpawner,3,57,PinWheel,-,SpiderWeb,-,2,
78,RandomSpawner,-2,53,PinWheel,-,SpiderWeb,-,2,
79,RandomSpawner,3,53,PinWheel,-,SpiderWeb,-,2,
80,RandomSpawner,-1,44,PinWheel,-,SpiderWeb,-,3,
81,RandomSpawner,3,42,PinWheel,-,SpiderWeb,-,3,
82,RandomSpawner,0,41,PinWheel,-,SpiderWeb,-,3,
83,RandomSpawner,-2,31,PinWheel,-,SpiderWeb,-,4,
84,RandomSpawner,1,30,PinWheel,-,SpiderWeb,-,4,
85,RandomSpawner,-1,28,PinWheel,-,SpiderWeb,-,4,
86,RandomSpawner,1,17,PinWheel,-,SpiderWeb,-,5,
87,RandomSpawner,2,10,PinWheel,-,SpiderWeb,-,5,
88,RandomSpawner,-1,8,PinWheel,-,SpiderWeb,-,5,
89,Rocket,-1,58,,,,,,
90,Magnet,3,87,,,,,,
91,Magnet,3,43,,,,,,
92,ItemBox,0,109,,,,,,
93,ItemBox,-2,73,,,,,,
94,ItemBox,-2,28,,,,,,
95,Crow,-2,110,,,,,,
96,Crow,3,95,,,,,,
97,Crow,-2,77,,,,,,
98,Crow,3,62,,,,,,
99,Crow,-2,47,,,,,,
100,Crow,3,34,,,,,,
101,Crow,-2,20,,,,,,
